question,option 1,option 2,option 3,option 4,answer,explanation,category,option 5
What does the feature 'Enhanced status (on-network)' enable for the MCData service? [3GPP Release 15],Temporary storage of data communications,Real-time updates of changes to group dynamic data,Sharing the current MCData system defined status,Sending an application level message to MCData clients,option 3: Sharing the current MCData system defined status,"The feature 'Enhanced status (on-network)' enables an MCData user to set and track the current MCData system defined status of the MCData user, which can be shared with an MCData group.",Standards overview,Extending the MCData application identifier
What basic requirements are supported for MMS? [3GPP Release 18],Real-time character by character text conversation,Store-and-forward multimedia messaging service,Automatic device detection,IP multimedia session control,option 2: Store-and-forward multimedia messaging service,MMS shall be capable of supporting integration of different types of messaging in a consistent manner.,Standards specifications,
What is the purpose of EAS Relocation on Release 16 capabilities? [3GPP Release 18],To enable roaming PDU Sessions,To provide low packet loss in the network,To support Edge Relocation involving AF change,To describe example procedures for EAS Relocation,option 4: To describe example procedures for EAS Relocation,EAS Relocation on Release 16 capabilities is described in Annex F and provides example procedures for EAS Relocation.,Standards specifications,
How does the UE report a change in its 3GPP PS Data Off status? [3GPP Release 18],Through the ATSSS Control procedure.,Through the non-Allowed Area reporting procedure.,Through the UE requested PDU Session Modification procedure.,Through the IMS domain enforcement procedure.,option 3: Through the UE requested PDU Session Modification procedure.,The UE shall immediately report a change of its 3GPP PS Data Off status in PCO by using the UE requested PDU Session Modification procedure.,Standards specifications,
Which sublayer is responsible for routing and next-hop determination on the backhaul link? [3GPP Release 18],MAC sublayer,RLC sublayer,PDCP sublayer,BAP sublayer,option 4: BAP sublayer,The BAP sublayer is responsible for routing and next-hop determination on the backhaul link.,Standards specifications,
What is the purpose of the enhancements in the feature VoIMS via Trusted and Untrusted WLAN access? [3GPP Release 15],To enable QoS differentiation and better user experience,To extend the reach of ProSe Direct Discovery,To enforce operator policy on the use of unlicensed spectrum,To enhance LTE operation in unlicensed spectrum,option 1: To enable QoS differentiation and better user experience,The purpose of the enhancements in the feature VoIMS via Trusted and Untrusted WLAN access is to enable QoS differentiation and better user experience.,Standards overview,
How does the NWDAF with accuracy checking capability decide to initiate analytics accuracy monitoring? [3GPP Release 18],Based on a request from an analytics accuracy consumer,Based on feedback information from an Analytics Consumer NF,Both option 1 and option 2,None of the above,option 3: Both option 1 and option 2,The NWDAF with accuracy checking capability can initiate analytics accuracy monitoring based on both a request from an analytics accuracy consumer and feedback information from an Analytics Consumer NF.,Standards specifications,
What is the inter RAT mobility characteristic of handover from E-UTRA to NR? [3GPP Release 17],Radio resources are prepared in the source RAT before the handover,In-sequence and lossless handover is supported,Both Xn and NG based inter-RAT handover are not supported,The source RAT configures Target RAT measurement and reporting,option 4: The source RAT configures Target RAT measurement and reporting,"In inter-RAT handover from E-UTRA to NR, the source RAT configures Target RAT measurement and reporting.",Standards specifications,Inter RAT measurements are limited to E-UTRA
What does the dispatchable location accuracy refer to? [3GPP Release 17],Horizontal accuracy,Vertical accuracy,Civic location granularity,Reliability,option 3: Civic location granularity,Dispatchable location accuracy refers to the specificity of the elements of civic location obtained.,Standards specifications,
What does SIPTO@LN stand for? [3GPP Release 17],Signaling Transport Protocol Over Local Network,Secure Internet Protocol Tunneling Over Local Network,Session Initiation Protocol Transfer Option for Local Network,Service Implementation for Public Telephony Over Local Network,option 2: Secure Internet Protocol Tunneling Over Local Network,SIPTO@LN stands for Secure Internet Protocol Tunneling Over Local Network and is a feature supported in the E-UTRAN architecture for certain functions.,Standards specifications,System Integration for Private Telecommunications Operators
What type of clock synchronization should the 3GPP system support across 5G-based Ethernet links with PDU-session type Ethernet? [3GPP Release 19],IEEE 802.1AS,IEEE 802.1Qbv,Better than 1µs accuracy,Coexistence of hard-RT and lower priority traffic,option 1: IEEE 802.1AS,The 3GPP system should support clock synchronization defined by IEEE 802.1AS across 5G-based Ethernet links with PDU-session type Ethernet.,Standards specifications,Routing based on Ethernet header information
What are the fundamental characteristics for QoS in the Streaming class? [3GPP Release 17],Preserve time relation,Stringent and low delay,Low bit error rate,Transparent payload transfer,option 1: Preserve time relation,The fundamental characteristic for QoS in the Streaming class is to preserve time relation.,Standards specifications,
What is the redundancy version number used for the initial transmission or autonomous retransmission of an initial transport block for a PUSCH transmission? [3GPP Release 17],0,1,2,3,option 1: 0,The redundancy version number used for the initial transmission or autonomous retransmission of an initial transport block for a PUSCH transmission is 0.,Standards specifications,repK-RV
Which 3GPP system entities are impacted by MUSIM? [3GPP Release 17],UE,MME / AMF,RAN / NG-RAN,SGW-C / SMF,option 5: All of the above,"The 3GPP system entities impacted by MUSIM are UE, MME / AMF, RAN / NG-RAN, and SGW-C / SMF (new rejection cause).",Standards overview,All of the above
What does the UE do if it is unable to comply with any part of the configuration included in the MobilityFromNRCommand message? [3GPP Release 17],Revert back to the configuration used in the source PCell,Stop all timers and release radio resources,Initiate the connection re-establishment procedure,Store handover failure information in VarRLF-Report,option 1: Revert back to the configuration used in the source PCell,"If the UE is unable to comply with any part of the configuration included in the MobilityFromNRCommand message, it reverts back to the configuration used in the source PCell.",Standards specifications,Attempt to select an E-UTRA cell
What is the formula to compute the angle between the unit vectors of the GCS and the LCS? [3GPP Release 18],Angle = acos(u1*u2 + v1*v2 + w1*w2),"Angle = atan2(v2, v1)","Angle = atan2(u2, u1)",Angle = asin(w1*w2),option 1: Angle = acos(u1*u2 + v1*v2 + w1*w2),The angle between the unit vectors of the GCS and the LCS can be computed using the formula Angle = acos(u1*u2 + v1*v2 + w1*w2).,Standards specifications,
What is specified in TS 24.588 related to V2X services? [3GPP Release 17],Architecture enhancements for V2X services,User Equipment (UE) policies for V2X services,Vehicle-to-Everything (V2X) services in 5G System (5GS); Stage 3,Characteristics of the Universal Subscriber Identity Module (USIM) application,option 2: User Equipment (UE) policies for V2X services,TS 24.588 specifies the User Equipment (UE) policies for V2X services.,Standards overview,VAS layer supported V2X communication using local MBMS
What does AMF Load Re-Balancing functionality allow? [3GPP Release 18],Stopping redirection of UEs served by one of its GUAMI(s),Moving UEs from CM-IDLE state to CM-CONNECTED state,Increasing the weight factor of an AMF after installation,Moving UEs registered on an AMF to another AMF within the same AMF set,option 4: Moving UEs registered on an AMF to another AMF within the same AMF set,The AMF load re-balancing functionality allows the movement of subscribers registered on an AMF to another AMF within the same AMF set with minimal impacts on the network and end users.,Standards specifications,
What happens in the EAP-based Network Slice-Specific authentication procedure? [3GPP Release 16],The AAA Server exchanges AAA protocol messages with a potential external AAA Server,The UE is authorized for a network slice or re-allocated to a different one,The AUSF exchanges AAA protocol messages with a potentially external AAA Server,The AAA Server triggers a re-authentication and re-authorization procedure,option 3: The AUSF exchanges AAA protocol messages with a potentially external AAA Server,"In the EAP-based Network Slice-Specific authentication procedure, the AUSF exchanges AAA protocol messages with a potentially external AAA Server.",Standards overview,The AAA Proxy exchanges AAA protocol messages with the AUSF
What is the supported service type for QoE Measurement Collection? [3GPP Release 18],QoE Measurement Collection for DASH streaming services,QoE Measurement Collection for MTSI services,QoE Measurement Collection for VR services,All of the above,option 4: All of the above,"The supported service types for QoE Measurement Collection are QoE Measurement Collection for DASH streaming services, QoE Measurement Collection for MTSI services, and QoE Measurement Collection for VR services.",Standards specifications,
Which CIoT features have been introduced in Rel-16? [3GPP Release 16],Control Plane CIoT 5GS Optimisation (CP CIoT 5GS Optimisation),User Plane CIoT 5GS Optimisation (UP CIoT 5GS Optimisation),Non-IP Data Delivery (NIDD),Reliable Data Service (RDS),option 5: All of the above,"All of the mentioned CIoT features (CP CIoT 5GS Optimisation, UP CIoT 5GS Optimisation, NIDD, RDS) have been introduced in Rel-16 according to the document.",Standards overview,All of the above
Which Work Item targets inter-cell interference cancellation in LTE? [3GPP Release 14],LTE_MUST,LTE_FNBID,NAICS,LTE_PERF,option 3: NAICS,The Network-Assisted Interference Cancellation and Suppression (NAICS) Work Item is specifically designed to address inter-cell interference cancellation in LTE.,Standards specifications,LTE_TR
What happens when a call undergoes voice call continuity and becomes barred in the target domain/system? [3GPP Release 18],The call continues in the target domain/system,The call terminates,Voice call continuity is not executed for the call,The call is put on hold,option 3: Voice call continuity is not executed for the call,"If a call undergoes voice call continuity and becomes barred in the target domain/system, it is up to the home operator policy whether the call continues, terminates, or voice call continuity is not executed for the call.",Standards specifications,
Does the 3GPP PS Data Off status affect data transfer over non-3GPP access? [3GPP Release 18],"Yes, it completely blocks data transfer over non-3GPP access.","No, it has no impact on data transfer over non-3GPP access.",It depends on the specific services being used.,It depends on the type of non-3GPP access.,"option 2: No, it has no impact on data transfer over non-3GPP access.",The PS Data Off status for a PDU Session does not affect data transfer over non-3GPP access.,Standards specifications,
What is the relationship between the spherical angles of the GCS and the LCS? [3GPP Release 18],The spherical angles of the GCS are equal to the spherical angles of the LCS,The spherical angles of the GCS are related to the spherical angles of the LCS through a set of equations,The spherical angles of the GCS are perpendicular to the spherical angles of the LCS,The spherical angles of the GCS depend on the orientation of the array,option 2: The spherical angles of the GCS are related to the spherical angles of the LCS through a set of equations,The spherical angles of the GCS are related to the spherical angles of the LCS through a set of equations.,Standards specifications,
What does the Notification Control parameter indicate? [3GPP Release 18],The GFBR for a QoS flow,The QoS parameter sets,Whether notifications are requested for GFBR fulfillment,The QoS flow ID,option 3: Whether notifications are requested for GFBR fulfillment,The Notification Control parameter indicates whether notifications are requested when the GFBR can no longer be fulfilled for a QoS flow.,Standards specifications,
Which of the following principles apply when 5GS assists AI/ML operations in the application layer? [3GPP Release 18],AF requests to the 5G System shall be authorized by the 5GC,Application AI/ML decisions reside at the AF and UE application client,AF can decide when to request assistance from 5GC,All of the above,option 4: All of the above,"All of the mentioned principles apply when 5GS assists AI/ML operations in the application layer. AF requests to the 5G System need authorization from the 5GC, application AI/ML decisions reside at the AF and UE application client, and AF can decide when to request assistance from 5GC.",Standards specifications,None of the above
What is VarMeasConfig used for? [3GPP Release 17],To configure the mobility behavior of the UE,To configure the reporting of measurements performed by the UE,To configure the logging of measurements performed by the UE,To configure the measurements to be performed by the UE,option 4: To configure the measurements to be performed by the UE,"VarMeasConfig includes the accumulated configuration of the measurements to be performed by the UE, covering intra-frequency, inter-frequency and inter-RAT mobility related measurements.",Standards specifications,To configure the random-access procedure of the UE
What is the minimum value of the uniformly distributed variables used for UMa and UMi-Street Canyon? [3GPP Release 18],0,10,25,60,option 1: 0,The minimum value of the uniformly distributed variables between 0 and 25 m for UMa and UMi-Street Canyon is 0.,Standards specifications,
How are charges settled between the different parties involved in the registration link? [3GPP Release 18],Charges are levied and paid directly between the user and serving network operators.,Charges are paid by each party to the network operator on a wholesale basis.,Charges are paid by the roaming broker to the network operator on a wholesale basis.,Charges are settled on a retail basis between the user and home environment.,option 2: Charges are paid by each party to the network operator on a wholesale basis.,"Charges incurred by a user are settled on a wholesale basis between the different parties involved in the registration link, with each party paying the network operator.",Standards specifications,Charges are settled through a clearing house between the user and serving network operators.
Which of the following is NOT a type of V2X application? [3GPP Release 17],Vehicle-to-Vehicle (V2V),Vehicle-to-Infrastructure (V2I),Vehicle-to-Network (V2N),Vehicle-to-Human (V2H),option 4: Vehicle-to-Human (V2H),"The four types of V2X applications are Vehicle-to-Vehicle (V2V), Vehicle-to-Infrastructure (V2I), Vehicle-to-Network (V2N), and Vehicle-to-Pedestrian (V2P).",Standards specifications,
What determines the NF instances (AMF and SMF) serving a specific UE? [3GPP Release 18],SUPI and S-NSSAI,NF Instance IDs and NF Set IDs,Analytics ID and Target of Analytics Reporting,Area of interest and list of analytics subsets,option 1: SUPI and S-NSSAI,The SUPI and S-NSSAI are used to determine which NF instances (AMF and SMF) are serving a specific UE.,Standards specifications,Preferred order of results and Reporting Threshold
What is the purpose of Fixed Reception for TV services? [3GPP Release 18],To enable unicast TV content delivery,To ensure privacy and non-identification of users,To support network capacity assignment,To deliver media content via unicast and broadcast,option 5: To allow the use of existing TV antenna equipment for broadcast TV,The document states that Fixed Reception for TV services allows a UE to receive broadcast TV content using existing TV antenna equipment.,Standards specifications,To allow the use of existing TV antenna equipment for broadcast TV
Which CDR types include the information about the selected or allocated core network operator? [3GPP Release 17],"MSC, SGSN, Serving GW and GGSN/PDN GW",MSC and SGSN only,Serving GW and GGSN/PDN GW only,"MSC, SGSN, and Serving GW only","option 1: MSC, SGSN, Serving GW and GGSN/PDN GW","The information about the selected or allocated core network operator is included in MSC, SGSN, Serving GW and GGSN/PDN GW CDR types.",Standards specifications,GGSN/PDN GW only
What is the correlation function used to describe the autocorrelation of shadow fading? [3GPP Release 17],Gaussian,Linear,Exponential,Sigmoid,option 3: Exponential,The autocorrelation of shadow fading is described by an exponential function.,Standards specifications,
What is the range of frequencies for the transmitter spurious emission limits? [3GPP Release 18],"From 30 MHz to the fifth harmonic of the upper frequency edge of the DL operating band, excluding ΔfOBUE",From the channel edge up to frequencies separated from the channel edge by 200% of the necessary bandwidth,From the channel edge up to frequencies separated from the channel edge by 100% of the necessary bandwidth,From the assigned channel frequency to an adjacent channel frequency,"option 1: From 30 MHz to the fifth harmonic of the upper frequency edge of the DL operating band, excluding ΔfOBUE","The transmitter spurious emission limits shall apply from 30 MHz to the fifth harmonic of the upper frequency edge of the DL operating band, excluding the frequency range from ΔfOBUE below the lowest frequency of each supported downlink operating band, up to ΔfOBUE above the highest frequency of each supported downlink operating band.",Standards specifications,
What does the Nchf_ConvergedCharging service Create Operation achieve for SMS Charging in the 5G System Architecture Phase 1? [3GPP Release 15],Event-based charging mode,Service-based charging architecture,SMS charging information,IP-SM-GW and SMS-SC,option 1: Event-based charging mode,The Nchf_ConvergedCharging service Create Operation achieves the Event-based charging mode for SMS Charging in the 5G System Architecture Phase 1.,Standards overview,5GS RAT Type and User Location
When does the TSCTSF control the (g)PTP-based time synchronization service without AF request? [3GPP Release 18],During UE registration,During PDU Session Establishment,During PCF policy authorization,During TSCTSF initialization,option 2: During PDU Session Establishment,The TSCTSF controls the (g)PTP-based time synchronization service without AF request when the UE performs the UE-requested PDU Session Establishment.,Standards specifications,During UDM retrieval
Which specification defines the overall 5GS Stage 2? [3GPP Release 15],TS 23.502,TS 23.503,TR 23.799,TS 23.501,option 4: TS 23.501,"TS 23.501 specifies the overall 5GS Stage 2, including the architecture reference model and high-level functions.",Standards overview,
What type of signal is used for wake-up in NB-IoT? [3GPP Release 17],Cell-specific reference signal,Synchronization signal,Discovery signal,Wake-up signal,option 4: Wake-up signal,The wake-up signal is used to wake up NB-IoT devices and is transmitted over 2 physical resource blocks in the frequency domain in available symbols of configured subframes.,Standards specifications,Reference signal
What is the purpose of the RedCap UE type? [3GPP Release 17],To enable carrier aggregation and dual connectivity in NR,To support high data rate requirements for IoT devices,To reduce UE complexity and power consumption for IoT use cases,To enable messaging communication in the 5G System,option 3: To reduce UE complexity and power consumption for IoT use cases,The RedCap UE type enables reduced UE complexity and power consumption for IoT use cases with low data rate requirements.,Standards overview,
What are the objectives of the schemes introduced in the MUSIM work item for LTE/NR? [3GPP Release 17],To support multiple frequencies of USIM cards.,To address the paging occasion collision issue for MUSIM UE.,To notify the network of a switch from one network to another for MUSIM purpose.,To indicate to the MUSIM UE whether an incoming paging is for voice service.,option 5: All of the above,"The objectives of the schemes introduced in the MUSIM work item for LTE/NR are to address the paging occasion collision issue, to notify the network of a switch for MUSIM purpose, and to indicate whether an incoming paging is for voice service.",Standards overview,All of the above
What category do the V2X configuration parameters fall under? [3GPP Release 14],V2X provisioning,V2X communication over PC5,V2X communication over LTE-Uu,All of the above,option 4: All of the above,"The V2X configuration parameters are categorized into V2X provisioning, V2X communication over PC5, and V2X communication over LTE-Uu.",Standards overview,None of the above
What is the purpose of indicating a VCC event in charging information? [3GPP Release 18],To apply appropriate ratings for the CS and IMS parts of the continued voice call,To track the location of the user during voice call continuity,To determine the billing address for the continued voice call,To enable the transfer of charging information between operators,option 1: To apply appropriate ratings for the CS and IMS parts of the continued voice call,Indicating a VCC event in charging information allows for the application of appropriate ratings for the CS and IMS parts of the continued voice call.,Standards specifications,
What is the purpose of standardising service capabilities? [3GPP Release 18],To make it difficult for operators to differentiate their services,To reduce the complexity of providing services across different operators' networks,To limit the types of services that can be introduced,To increase the cost of introducing new services,option 2: To reduce the complexity of providing services across different operators' networks,Standardising service capabilities can reduce the complexity of introducing new services or modifying existing ones across different operators' networks.,Standards specifications,
What kind of charging architecture does the 5G Data Connectivity domain charging rely on? [3GPP Release 15],Generic converged charging architecture,Unified charging architecture,Distributed charging architecture,Separate charging architecture,option 1: Generic converged charging architecture,The 5G Data Connectivity domain charging relies on the generic converged charging architecture.,Standards overview,None of the above
What message is sent by the MS to the network to request the release of a GMM context? [3GPP Release 18],Detach request (mobile terminated detach),Detach request (mobile originating detach),Detach accept (mobile terminated detach),Detach accept (mobile originating detach),option 1: Detach request (mobile terminated detach),The message sent by the MS to the network to request the release of a GMM context is called Detach request (mobile terminated detach).,Standards specifications,
How can the V2X Application Server address be determined for V2X communication over LTE-Uu? [3GPP Release 14],By configuring V2X Application Server information,By using TCP transport,By using downlink multicast and non-GBR bearer,By using the UDP/IP transport,option 1: By configuring V2X Application Server information,The V2X Application Server address can be determined by configuring V2X Application Server information for V2X communication over LTE-Uu.,Standards overview,By using the V3 interface
How does the UE negotiate with the AF for analytics subscription? [3GPP Release 18],Through the network layer,Through the NWDAF,Through the SMF,Through the application layer,option 4: Through the application layer,The UE negotiates with the AF for analytics subscription through the application layer.,Standards specifications,Through the NRF
Which document specifies the MUSIM-specific rejection cause for EPS? [3GPP Release 17],TS 23.501,TS 27.007,TS 29.518,TS 24.501,option 5: TS 29.274,The MUSIM-specific rejection cause for EPS is specified in TS 29.274.,Standards overview,TS 29.274
Which document specifies the protocols for V2X authorization between the V2X Control Function and the HSS over the V4 interface? [3GPP Release 14],TS 23.203,TS 24.386,TS 29.116,TS 29.061,option 5: TS 29.388,TS 29.388 specifies the protocols for V2X authorization between the V2X Control Function and the HSS over the V4 interface.,Standards overview,TS 29.388
What is the purpose of file management in network management? [3GPP Release 17],To store and transfer data between network functions and management functions,To provide basic connectivity information to a NE after it is powered up,"To support management of MDT measurement collection in UMTS, LTE, and 5G networks",To control and discover management data production and collection,option 1: To store and transfer data between network functions and management functions,File management in network management involves storing and transferring different kinds of data between network functions and management functions.,Standards overview,To enable charging for roaming local breakout scenario
What does the Scheduling request feature in NB-IoT allow a connected mode UE to do? [3GPP Release 15],Trigger a random access procedure for UL resource allocation,Configure periodic NPUSCH resources for BSR transmission,Send a request to the eNB to be granted NPUSCH resources,Receive a grant for EDT if pending data is smaller than a maximum permitted size,option 3: Send a request to the eNB to be granted NPUSCH resources,The Scheduling request feature allows a connected mode UE to send a request to the eNB to be granted NPUSCH resources to send a buffer status report (BSR).,Standards overview,Reduce the system acquisition time for the UE
What is used to carry HARQ feedback over the sidelink? [3GPP Release 17],Physical Sidelink Control Channel (PSCCH),Physical Sidelink Broadcast Channel (PSBCH),Physical Sidelink Shared Channel (PSSCH),Physical Sidelink Feedback Channel (PSFCH),option 4: Physical Sidelink Feedback Channel (PSFCH),The Physical Sidelink Feedback Channel (PSFCH) carries HARQ feedback over the sidelink.,Standards specifications,DM-RS
What does EARFCN stand for? [3GPP Release 18],EARly Frequency Channel Number,Early Frequency Resource Channel Number,E-UTRA Absolute Radio Frequency Channel Number,Ethernet Absolute Radio Frequency Channel Number,option 3: E-UTRA Absolute Radio Frequency Channel Number,EARFCN stands for E-UTRA Absolute Radio Frequency Channel Number.,Standards specifications,Eventual Absolute Radio Frequency Channel Number
What are the required inputs for the Nadrf_DataManagement_RetrievalSubscribe service operation? [3GPP Release 18],"Service Operation, Analytics Specification or Data Specification, Time Window","DataSetTag, Service Operation, Time Window","Service Operation, Analytics Specification or Data Specification, Fetch flag","DataSetTag, Time Window, Fetch flag","option 1: Service Operation, Analytics Specification or Data Specification, Time Window","The required inputs for the Nadrf_DataManagement_RetrievalSubscribe service operation include Service Operation, Analytics Specification or Data Specification, and Time Window.",Standards specifications,"Service Operation, Fetch flag"
Which feature was introduced in Rel-15 to improve transmission reliability in Carrier Aggregation (CA) for mode-4? [3GPP Release 15],Support for 64-QAM,Reduction of the maximum time between packet arrival and resource selection,Transmit diversity,Radio resource pool sharing,option 3: Transmit diversity,Transmit diversity was introduced in Rel-15 to improve transmission reliability in Carrier Aggregation (CA) for mode-4.,Standards overview,Short Transmission Time Interval (TTI)
What is the granularity of the time reference provided by the network to end user equipment in LTE? [3GPP Release 18],0.25 microseconds,1 microsecond,10 microseconds,100 microseconds,option 1: 0.25 microseconds,The time reference provided by the network to end user equipment in LTE has a granularity of 0.25 microseconds.,Standards specifications,
What is the purpose of the SDAP sublayer in Layer 2? [3GPP Release 17],Mapping between logical channels and transport channels,Transfer of upper layer PDUs,Transfer of data radio bearers,Marking QoS flow ID in packets,option 4: Marking QoS flow ID in packets,The main purpose of the SDAP sublayer is to mark the QoS flow ID (QFI) in both DL and UL packets.,Standards specifications,Error correction through ARQ
What are examples of management services that can be produced by an entity in a mobile network? [3GPP Release 17],Network slicing and performance management services,Configuration management services and fault supervision services,NF and network management functions,Performance management services and fault supervision services,option 2: Configuration management services and fault supervision services,The document mentions that an entity in a mobile network can produce management services such as configuration management services and fault supervision services.,Standards specifications,Network Functions and NFV MANO interface
Can subscribers' access be restricted to only GERAN or UTRAN in a visited network that has not separated the Location/Routing area categories? [3GPP Release 18],Yes,No,,,option 2: No,Restricting subscribers' access to only GERAN or UTRAN is not possible in a visited network that has not separated the Location/Routing area categories.,Standards specifications,
What additional function does the MME support in case of SIPTO@LN with stand-alone gateway? [3GPP Release 17],Transfer of the collocated L-GW IP address to the eNB,Support for MME-triggered P-GW relocation,Activation of SIPTO@LN PDN for requested APN,Release of SIPTO@LN PDN connection for idle-mode UE,option 5: S-GW relocation without UE mobility,"In case of SIPTO@LN support with stand-alone gateway, the MME supports additional functions such as S-GW relocation without UE mobility.",Standards specifications,S-GW relocation without UE mobility
What can the MDA MnS consumer expect from the MDA producer regarding the network context? [3GPP Release 17],Complete network context,Partial network context,No network context,Real-time network context,option 3: No network context,The MDA MnS producer does not provide the network context as it can vary depending on the usage and purpose of the analytics.,Standards specifications,Network context based on consumer's usage
What is the purpose of user data congestion analytics? [3GPP Release 18],To collect measurements from the OAM,To determine the area where a specific UE is located,To provide statistics or predictions or both related to congestion experienced while transferring user data,To subscribe to user data congestion analytics,option 3: To provide statistics or predictions or both related to congestion experienced while transferring user data,"User data congestion analytics provide statistics or predictions, or both, related to congestion experienced while transferring user data.",Standards specifications,
Which layers are described in the 36.300 series? [3GPP Release 17],Layer 1 and Layer 2,Layer 2 and Layer 3,Layer 1 and Layer 3,Only Layer 1,option 2: Layer 2 and Layer 3,The 36.300 series describes Layer 2 and Layer 3.,Standards specifications,Only Layer 3
Which SRB is used for RRC messages using the CCCH logical channel? [3GPP Release 17],SRB0,SRB1,SRB2,SRB3,option 1: SRB0,SRB0 is used for RRC messages using the CCCH logical channel.,Standards specifications,SRB4
What are the main operations that can be performed using the ADRF service? [3GPP Release 18],"Store data or analytics, retrieve data or analytics, delete data or analytics","Store data or analytics, retrieve data or analytics, update data or analytics","Store data or analytics, retrieve data or analytics, delete ML models","Store data or analytics, retrieve ML models, delete data or analytics","option 1: Store data or analytics, retrieve data or analytics, delete data or analytics","ADRF service operations can be used to store, retrieve, or delete data or analytics from the ADRF.",Standards specifications,"Store ML models, retrieve data or analytics, delete data or analytics"
Under what conditions does the UE ignore PDCCH skipping? [3GPP Release 17],When SR is sent and is pending on all serving cells of the Cell Group,During monitoring of the RAR/MsgB window on SpCell,While contention resolution timer is running on SpCell,All of the above,option 4: All of the above,"The UE ignores PDCCH skipping when SR is sent and is pending on all serving cells of the Cell Group, during monitoring of the RAR/MsgB window on SpCell, and while contention resolution timer is running on SpCell.",Standards overview,None of the above
What is the purpose of the MBMSAPI_MCS in the MBMS APIs for Mission Critical Services? [3GPP Release 16],To implement the logic of MBMS operations for Mission Critical applications,To provide decoupling between the platform MBMS functions and the mission critical application call control functions,To enable easy development of Mission Critical Services across different phone platforms,To provide secured storage area for MCData communication history,option 2: To provide decoupling between the platform MBMS functions and the mission critical application call control functions,The MBMSAPI_MCS intends to offer the API within the UE to ease the development of Mission Critical Services across different phone platforms and provide decoupling between the platform MBMS functions and the mission critical application call control functions.,Standards overview,To enable interworking between Mission Critical systems and Land Mobile Radio systems
What measurements does the UE need to make in RRC_IDLE mode for E-CID? [3GPP Release 14],NRSRP and NRSRQ measurements,DL and UL power measurements,RSRP and RSRQ measurements,Signal strength and signal quality measurements,option 1: NRSRP and NRSRQ measurements,The UE only needs to make NRSRP and NRSRQ measurements in RRC_IDLE mode for E-CID.,Standards overview,RSSI and SNR measurements
What mechanism allows an NG-RAN node to request activation of certain deactivated SSB beams? [3GPP Release 18],Inter-node Beam Activation,Dynamic Beam Allocation,Beamforming Adaptation,Enhanced Synchronization,option 1: Inter-node Beam Activation,The mechanism that allows an NG-RAN node to request activation of certain deactivated SSB beams is called Inter-node Beam Activation.,Standards specifications,
What does the SN-DU send to the SN-CU after receiving the UE CONTEXT RELEASE message from the SN-CU? [3GPP Release 17],UE CONTEXT SETUP RESPONSE,UE CONTEXT MODIFICATION REQUEST,UE CONTEXT RELEASE COMMAND,UE CONTEXT RELEASE COMPLETE,option 4: UE CONTEXT RELEASE COMPLETE,The SN-DU responds to the SN-CU with the UE CONTEXT RELEASE COMPLETE message.,Standards specifications,UE CONTEXT MODIFICATION RESPONSE
How is power saving enabled during active-time? [3GPP Release 17],Cross-slot scheduling,PDCCH monitoring adaptation mechanisms,BWP switching,DRX configuration,option 1: Cross-slot scheduling,Power saving is enabled during active-time via cross-slot scheduling.,Standards specifications,RLM and BFD relaxation
Which of the following services and capabilities can be exposed to 3rd party service providers? [3GPP Release 18],Support of 3rd party requested MTC Device triggering,Support of 3rd party interaction for 3GPP resource management for background data transfer,Support of 3rd party interaction on information for predictable communication patterns of a UE,All of the above,option 4: All of the above,"The 3GPP Core Network can expose various services and capabilities, including support for MTC Device triggering, resource management for background data transfer, and information on predictable communication patterns of a UE.",Standards specifications,
"What is the purpose of classifying UEs as fixed, camper or traveller? [3GPP Release 18]",To identify the top contributors to data volume dispersion,To predict QoS attributes for UEs,To limit access to certain areas or slices,To rank hot locations based on UE activity,option 3: To limit access to certain areas or slices,"The operator may classify UEs as fixed, camper, or traveller based on their dispersion characteristics. This classification can be used to limit the QoS attributes or access of UEs to certain areas of interest or slices.",Standards specifications,To analyze the location of UEs during a period of interest
Which entity controls the 5G Access Stratum-based Time Distribution for a UE? [3GPP Release 18],UE,AMF,NG-RAN,PCF,option 2: AMF,The AMF controls the 5G Access Stratum-based Time Distribution for a UE according to parameters retrieved in the Access and Mobility Subscription data.,Standards specifications,TSCTSF
What is a Customer Premises Network (CPN)? [3GPP Release 17],"A network located within a residence, office or shop that provides connectivity to the 5G network.","A network owned, installed, and configured by a public network operator.",A network that consists of PIN Elements and communicates using PIN Direct Connection.,"A network that supports mechanisms for identifying a PIN, PIN Element, eRG, and PRAS.","option 1: A network located within a residence, office or shop that provides connectivity to the 5G network.","A Customer Premises Network (CPN) is described as a network located within a premises (e.g. a residence, office or shop) that provides connectivity to the 5G network.",Standards specifications,"A network that supports regulatory requirements for emergency calls, PWS, and eCall for UEs connected via 3GPP access."
What is the purpose of the MPS system? [3GPP Release 18],To provide preferential treatment based on the subscription for MPS,To enable access and core network resources for MPS sessions,To assign priority levels to Service Users,To support Priority Data Bearer Service,option 1: To provide preferential treatment based on the subscription for MPS,The purpose of the MPS system is to provide preferential treatment based on the subscription for MPS.,Standards specifications,To provide MPS for roaming Service Users
